date,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
2011-02-26,1,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-02-27,2,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-02-28,3,2,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-03-01,4,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,0
2011-03-02,5,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,1
2011-03-03,6,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-03-04,7,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,0
2011-03-05,1,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-03-06,2,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-03-07,3,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,0
2011-03-08,4,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,1
2011-03-09,5,3,2011,LentStart,Religious,0_NoEvent,0_NoEvent,1,1,1
2011-03-10,6,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,0
2011-03-11,7,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-03-12,1,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-03-13,2,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,0
2011-03-14,3,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,1
2011-03-15,4,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-03-16,5,3,2011,LentWeek2,Religious,0_NoEvent,0_NoEvent,0,0,0
2011-03-17,6,3,2011,StPatricksDay,Cultural,0_NoEvent,0_NoEvent,0,0,0
2011-03-18,7,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-03-19,1,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-03-20,2,3,2011,Purim End,Religious,0_NoEvent,0_NoEvent,0,0,0
2011-03-21,3,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-03-22,4,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-03-23,5,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-03-24,6,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-03-25,7,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-03-26,1,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-03-27,2,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-03-28,3,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-03-29,4,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-03-30,5,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-03-31,6,3,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-04-01,7,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,0
2011-04-02,1,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,1
2011-04-03,2,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-04-04,3,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,0
2011-04-05,4,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-04-06,5,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-04-07,6,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,0
2011-04-08,7,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,1
2011-04-09,1,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-04-10,2,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,0
2011-04-11,3,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-04-12,4,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-04-13,5,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,0
2011-04-14,6,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,1
2011-04-15,7,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-04-16,1,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-04-17,2,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-04-18,3,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-04-19,4,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-04-20,5,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-04-21,6,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-04-22,7,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-04-23,1,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-04-24,2,4,2011,OrthodoxEaster,Religious,Easter,Cultural,0,0,0
2011-04-25,3,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-04-26,4,4,2011,Pesach End,Religious,0_NoEvent,0_NoEvent,0,0,0
2011-04-27,5,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-04-28,6,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-04-29,7,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-04-30,1,4,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-05-01,2,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,0
2011-05-02,3,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,1
2011-05-03,4,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-05-04,5,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,0
2011-05-05,6,5,2011,Cinco De Mayo,Cultural,0_NoEvent,0_NoEvent,1,1,1
2011-05-06,7,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-05-07,1,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,0
2011-05-08,2,5,2011,Mother's day,Cultural,0_NoEvent,0_NoEvent,1,0,1
2011-05-09,3,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-05-10,4,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,0
2011-05-11,5,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-05-12,6,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-05-13,7,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,0
2011-05-14,1,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,1
2011-05-15,2,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-05-16,3,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-05-17,4,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-05-18,5,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-05-19,6,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-05-20,7,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-05-21,1,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-05-22,2,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-05-23,3,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-05-24,4,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-05-25,5,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-05-26,6,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-05-27,7,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-05-28,1,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-05-29,2,5,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-05-30,3,5,2011,MemorialDay,National,0_NoEvent,0_NoEvent,0,0,0
2011-05-31,4,5,2011,NBAFinalsStart,Sporting,0_NoEvent,0_NoEvent,0,0,0
2011-06-01,5,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,0
2011-06-02,6,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,1
2011-06-03,7,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-06-04,1,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,0
2011-06-05,2,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-06-06,3,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-06-07,4,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,0
2011-06-08,5,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,1
2011-06-09,6,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-06-10,7,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,0
2011-06-11,1,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-06-12,2,6,2011,NBAFinalsEnd,Sporting,0_NoEvent,0_NoEvent,0,1,1
2011-06-13,3,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,0
2011-06-14,4,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,1
2011-06-15,5,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-06-16,6,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-06-17,7,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-06-18,1,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-06-19,2,6,2011,Father's day,Cultural,0_NoEvent,0_NoEvent,0,0,0
2011-06-20,3,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-06-21,4,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-06-22,5,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-06-23,6,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-06-24,7,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-06-25,1,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-06-26,2,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-06-27,3,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-06-28,4,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-06-29,5,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-06-30,6,6,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-07-01,7,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,0
2011-07-02,1,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,1
2011-07-03,2,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-07-04,3,7,2011,IndependenceDay,National,0_NoEvent,0_NoEvent,1,0,0
2011-07-05,4,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-07-06,5,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-07-07,6,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,0
2011-07-08,7,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,1
2011-07-09,1,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-07-10,2,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,0
2011-07-11,3,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-07-12,4,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-07-13,5,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,0
2011-07-14,6,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,1
2011-07-15,7,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-07-16,1,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-07-17,2,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-07-18,3,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-07-19,4,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-07-20,5,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-07-21,6,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-07-22,7,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-07-23,1,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-07-24,2,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-07-25,3,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-07-26,4,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-07-27,5,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-07-28,6,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-07-29,7,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-07-30,1,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-07-31,2,7,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-08-01,3,8,2011,Ramadan starts,Religious,0_NoEvent,0_NoEvent,1,1,0
2011-08-02,4,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,1
2011-08-03,5,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-08-04,6,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,0
2011-08-05,7,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-08-06,1,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-08-07,2,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,0
2011-08-08,3,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,1
2011-08-09,4,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-08-10,5,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,0
2011-08-11,6,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-08-12,7,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-08-13,1,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,0
2011-08-14,2,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,1
2011-08-15,3,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-08-16,4,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-08-17,5,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-08-18,6,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-08-19,7,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-08-20,1,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-08-21,2,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-08-22,3,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-08-23,4,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-08-24,5,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-08-25,6,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-08-26,7,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-08-27,1,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-08-28,2,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-08-29,3,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-08-30,4,8,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-08-31,5,8,2011,Eid al-Fitr,Religious,0_NoEvent,0_NoEvent,0,0,0
2011-09-01,6,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,0
2011-09-02,7,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,1
2011-09-03,1,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-09-04,2,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,0
2011-09-05,3,9,2011,LaborDay,National,0_NoEvent,0_NoEvent,1,1,1
2011-09-06,4,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-09-07,5,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,0
2011-09-08,6,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,1
2011-09-09,7,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-09-10,1,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,0
2011-09-11,2,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-09-12,3,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-09-13,4,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,0
2011-09-14,5,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,1
2011-09-15,6,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-09-16,7,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-09-17,1,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-09-18,2,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-09-19,3,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-09-20,4,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-09-21,5,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-09-22,6,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-09-23,7,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-09-24,1,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-09-25,2,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-09-26,3,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-09-27,4,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-09-28,5,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-09-29,6,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-09-30,7,9,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-10-01,1,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,0
2011-10-02,2,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,1
2011-10-03,3,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-10-04,4,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,0
2011-10-05,5,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-10-06,6,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-10-07,7,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,0
2011-10-08,1,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,0,1
2011-10-09,2,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,1,1,1
2011-10-10,3,10,2011,ColumbusDay,National,0_NoEvent,0_NoEvent,1,0,0
2011-10-11,4,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-10-12,5,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-10-13,6,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,0
2011-10-14,7,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,1
2011-10-15,1,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,1,1
2011-10-16,2,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-10-17,3,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-10-18,4,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-10-19,5,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-10-20,6,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-10-21,7,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-10-22,1,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-10-23,2,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
2011-10-24,3,10,2011,0_NoEvent,0_NoEvent,0_NoEvent,0_NoEvent,0,0,0
